,리뷰 내용,month&year,mall_num,review_star,reveiw_star,img_num,modi_text,_nouns_in_text,text_length
0,"일단 배송도 빨라서 넘좋았습니다
토요일날주문해서 월요일날 도착했나? 그럴겁니다
이런저런 키보드 여러 스위치와 축들을써봤지만
오테뮤 갈축은한번도써본적이없기에 구매해보았습니다
처음에는 친구거와는달리 클릭음이나지않고 타건감 역시 적축에가까운 리니어같아서 당황했는데 쓰다보니 윤활처리가 잘되있어그런것같고 하판이울리거나 그런것역시 없었습니다
그렇게 1주일정도 써보니 넌클릭의느낌이뭔지 알수도있었고 가성비로 잘샀다는느낌이 듭니다
다만 한가지아쉬운점이라면 랜더링컷과는달리 키캡이 많이 저렴한느낌이큽니다 키보드자체가비싸지않아 그런건지는몰라도 키보드정가로봤을땐 확실히 마감이 좋은키캡은아니었습니다
(쉽게말해 엄청미끌거리고 유분자국이 잘나며 오염이잘될거같은? abs형식의)그런 키캡류입니다 하필제가 땀이많아 단점이되었을지도?
그래서 제가가지고있는 pbt 염료승화 키캡으로 갈아주었는데
너무 마음에듭니다 아무튼 잘쓰겠습니다!!",7,2,5,5,0,일단 배송도 빨라서 너무 좋았습니다토요일 주문해서 월요일 도착했나? 그럴 겁니다이런저런 키보드 여러 스위치와 축들을 써봤지만오테뮤 갈축은 한 번도 써본 적이 없기에 구매해보았습니다처음에는 친구 거와는 달리 클릭음이나지않고 타건감 역시 적축에 가까운 리니어같아서 당황했는데 쓰다 보니 윤활 처리가 잘 돼있어 그런 것 같고 하판이 울리거나 그런 것 역시 없었습니다그렇게 1주일 정도 써보니 넌클릭의 느낌이 뭔지 알 수도 있었고 구성비로 잘 샀다는 느낌이 듭니다다만 한 가지 아쉬운 점이라면 렌더링 컷과는 달리 키캡이 많이 저렴한 느낌이 큽니다 키보드 자체가 비싸지 않아 그런 건지는 몰라도 키보드 정가로 봤을 땐 확실히 마감이 좋은키캡은 아니었습니다(쉽게 말해 엄청 미끈거리고 유분 자국이 잘나며 오염이 잘 될 거 같은? abs 형식의) 그런 키캡류입니다 하필 죄가 땀이 많아 단점이 되었을지도?그래서 제가 가지고 있는 pbt 염료승화 키캡으로 갈아주었는데너무 마음에 듭니다 아무튼 잘 쓰겠습니다!!,63,501
1,기존에 사용하던 키보드는 8만원정도 하는데 청축을 사용했는데요. 키 버튼 하나를 누르면 그 라인에 있는 키들이 전부 눌러져서 사용을 못해서 일반 키보드로 억지로 사용하고 있었는데 게임할 때도 타자감도 너무 불편함이 많았습니다. 그래서 키보드 사기엔 컴퓨터도 많이 하지 않는데 사는건 돈이 아깝고 해서 저렴한거 알아보다 앱코 k640이 3만원정도에 살 수 있더라구요. 가격대비 평도 나쁘지 않고 청축만 쓰다 갈축을 선택해서 써봤는데 처음엔 청축처럼 만큼은 아니지만 그래도 처음써보는 거라 그런지 약간 어색했는데 역시 쓰다보니 적응이 되더라구요. 갈축이 청축과 적축의 장점을 모아둔게 갈축이라고 검색해서 알게 되었는데 적당한거 같아서 나름 쏘쏘합니다. ㅋㅋㅋ 가격대비 만족해요. 키보드 커버도 주는 줄 알았는데 알고보니 덮개를 주는거더군요. 이 부분은 살짝 아쉬웠어요 ㅠ 손에 땀이 좀 많은 편이라 또 상황에 따라 좋을 것 같은데 물론 제가 잘못봐서 그런거지만요. 그래도 덮개 있으면 사용안할 때 먼지유입 방지는 또 좋은 것 같아요,5,1,4,4,0,기존에 사용하던 키보드는 8만 원 정도 하는데 청축을 사용했는데요. 키 버튼 하나를 누르면 그 라인에 있는 키들이 전부 눌러져서 사용을 못 해서 일반 키보드로 억지로 사용하고 있었는데 게임할 때도 타자감도 너무 불편함이 많았습니다. 그래서 키보드 사기엔 컴퓨터도 많이 하지 않는데 사는 건 돈이 아깝고 해서 저렴한 거 알아보다 앱코 k640이 3만 원 정도에 살 수 있더라고요. 가격 대비 평도 나쁘지 않고 청축만 쓰다 갈축을 선택해서 써봤는데 처음엔 청축처럼만큼은 아니지만 그래도 처음 써보는 거라 그런지 약간 어색했는데 역시 쓰다 보니 적응이 되더라고요. 갈축이 청축과 적축의 장점을 모아둔 게 갈축이라고 검색해서 알게 되었는데 적당한 거 같아서 나름 쏘쏘합니다. ㅋㅋㅋ 가격 대비 만족해요. 키보드 커버도 주는 줄 알았는데 알고 보니 덮개를 주는 거더군요. 이 부분은 살짝 아쉬웠어요 ㅠ 손에 땀이 좀 많은 편이라 또 상황에 따라 좋을 것 같은데 물론 제가 잘못 봐서 그런 거지만요. 그래도 덮개 있으면 사용 안 할 때 먼지 유입 방지는 또 좋은 것 같아요,65,538
2,"갑작스럽게 기계식 키보드가 필요해서 주문했습니다. 일단 배송은 매우 빠르게 출고해주시고 빨랐습니다. 그리고 직접수령 메뉴도 있으니, 급하고 가까운 지역이면 확인후 수령하시면 될 것 같습니다. 키보드 자체에 대해서 말씀드리자면, 일단 전체적으로 제품 마감이나 퀄리티는 매우 좋습니다. 아직 많이 사용은 안해봤지만 인쇄된 키가 쉽게 지워질 것 같지도 않네요. 많은분들이 궁금하실 것 같은 키감은 (참고로 저는 청축입니다.) 소리는 일반적인 기계식 청축 소리가 그대로 납니다. 다만 키감에서는 일반적인 기계식 키감하고는 살~~~짝? 다릅니다. 제가 기계식 키보드를 많이 사용하거나, 전문가는 아니고 일반적인 사용자 입장에서 말씀드리는 겁니다. 아마 직접 사용하시면 느끼실 건데, 키감이 마지막(키 누르는 마지막 단계)에서 살~짝? 다른 기계식 키보드랑 차이가 있습니다. (미묘하게..) 당연히 가격차이가 있는데 최상급 기계식 키보드 원한다면 체리 스위치 제품을 사는게 좋으실거에요. 이 키보드는 오테뮤 스위치라서 제가 경험했던 기계식 키보드하고는 약간의 차이가 있겠지만, 이 가격에서 이런 기계식 키보드는 없다고 자부합니다. 디자인, LED, 품질, 키감 등은 이 가격에서 최상이라고 생각합니다. 추천합니다..",9,1,4,4,0,"갑작스럽게 기계식 키보드가 필요해서 주문했습니다. 일단 배송은 매우 빠르게 출고해주시고 빨랐습니다. 그리고 직접 수령 메뉴도 있으니, 급하고 가까운 지역이면 확인 후 수령하시면 될 것 같습니다. 키보드 자체에 대해서 말씀드리자면, 일단 전체적으로 제품 마감이나 퀄리티는 매우 좋습니다. 아직 많이 사용은 안 해봤지만 인쇄된 키가 쉽게 지워질 것 같지도 않네요. 많은 분들이 궁금하실 것 같은 키감은 (참고로 저는 청축입니다.) 소리는 일반적인 기계식 청축 소리가 그대로 납니다. 다만 키감에서는 일반적인 기계식 키감하고는 살~~~짝? 다릅니다. 제가 기계식 키보드를 많이 사용하거나, 전문가는 아니고 일반적인 사용자 입장에서 말씀드리는 겁니다. 아마 직접 사용하시면 느끼실 건데, 키감이 마지막(키 누르는 마지막 단계)에서 살~짝? 다른 기계식 키보드랑 차이가 있습니다. (미묘하게..) 당연히 가격차이가 있는데 최상급 기계식 키보드 원한다면 체리 스위치 제품을 사는 게 좋으실 거예요. 이 키보드는 오테뮤 스위치라서 제가 경험했던 기계식 키보드하고는 약간의 차이가 있겠지만, 이 가격에서 이런 기계식 키보드는 없다고 자부합니다. 디자인, LED, 품질, 키감 등은 이 가격에서 최상이라고 생각합니다. 추천합니다..",62,624
3,"기계식 키보드를 처음 써보는데 그동안 많이 궁금했습니다. 마침 이 제품이 절반정도 가격으로 할인한다고 하길래 좀 더 고가의 제품을 살까 고민하다가 처음이라 모험하지 않으려고 구매했는데 생각보다 만듬새나 마감이 괜찮네요. 적축이 소리가 작다고 하여 구매했는데 생각보다는 소음이 있고 통울림이라고 하나요? 울리는 소리가 나긴 하는데 신경쓰지 않으면 모를 수준인거 같고 무엇보다 가격이 낮다보니 그냥 그러려니 하고 사용할 수 있을 듯 합니다.led 들어오는 것 , 여러 효과 조절하는 것도 괜찮고 fn키를 통해 멀티미디어 및 여러 단축키를 사용할 수 있는 점도 좋았습니다. 최근 키보드들은 대부분 있는거 같긴 한데 마침 필요하기도 해서 괜찮았네요. 제 기준에서 단점이라면 위에 서술한 통울림 현상, 그리고 키보드 높이가 좀 높아 아직 적응이 잘 되지 않고 있다는 점인데 좀 더 사용해보면 괜찮지 않을까 싶습니다.가격대비 해서는 좋은 제품이라고 생각되네요.",5,1,5,5,0,"기계식 키보드를 처음 써보는데 그동안 많이 궁금했습니다. 마침 이 제품이 절반 정도 가격으로 할인한다고 하길래 좀 더 고가의 제품을 살까 고민하다가 처음이라 모험하지 않으려고 구매했는데 생각보다 만듦새나 마감이 괜찮네요. 적축이 소리가 작다고 하여 구매했는데 생각보다는 소음이 있고 통울림이라고 하나요? 울리는 소리가 나긴 하는데 신경 쓰지 않으면 모를 수준인 거 같고 무엇보다 가격이 낮다 보니 그냥 그러려니 하고 사용할 수 있을 듯합니다. led 들어오는 것, 여러 효과 조절하는 것도 괜찮고 fn 키를 통해 멀티미디어 및 여러 단축키를 사용할 수 있는 점도 좋았습니다. 최근 키보드들은 대부분 있는 거 같긴 한데 마침 필요하기도 해서 괜찮았네요. 제 기준에서 단점이라면 위에 서술한 통울림 현상, 그리고 키보드 높이가 좀 높아 아직 적응이 잘되지 않고 있다는 점인데 좀 더 사용해보면 괜찮지 않을까 싶습니다. 가격 대비해서는 좋은 제품이라고 생각되네요.",49,480
4,"갈축과 적축 두개를 구매했습니다.갈축은 불량이 걸려서 현재 교환요청 중이구요,적축은 타자를 조금 많이 치는 저에게 적합하다고 생각되어 적축을 했는데..터치감이 부드러운것 같아요 PC방 키보드보다..소음을 중요시 하는 소비자라면, 글쎄요, 아직 갈축을 교환 보내서 비교를 상세히 해보지는 못했지만,적축이 소음이 없는건 아니예요! 무거운 느낌보다는 살짝 가벼운 느낌의 타자기 치는 소리가 납니다.전 뭐 사무실에서 사용하는 거여서 그닥 상관은 없어요~키보드 LED 들어오는부분의 종류도 많은것 같은데, 유저의 사용법에 따라 선택할수 있는것 같습니다.아직 저는 기본으로 두고 사용중이라 ^^;스페이스바가 기존 키보드보다 넓어서 적응이 안된 상태라..자꾸 한영키 누를때 버벅 거리네요전체적으로 활용만 잘하면 만족도가 높을것 같은 느낌이예요 ^^아 그리고 옥션에서 쿠폰할인 받고, 현재 앱코에서 이벤트 중인 리뷰작성시 장패드 주는거..넘나 좋으네요 ^^ 다들 좋은 혜택 있을때 득템하세요~^^",2,2,5,5,4,"갈축과 적축 두 개를 구매했습니다.갈축은 불량이 걸려서 현재 교환 요청 중이고요,적축은 타자를 조금 많이 치는 저에게 적합하다고 생각되어 적축을 했는데.. 터치감이 부드러운 것 같아요 PC방 키보드보다.. 소음을 중요시하는 소비자라면, 글쎄요, 아직 갈축을 교환 보내서 비교를 상세히 해보지는 못했지만,적축이 소음이 없는 건 아니에요! 무거운 느낌보다는 살짝 가벼운 느낌의 타자기 치는 소리가 납니다. 전 뭐 사무실에서 사용하는 거여서 그다지 상관은 없어요~키보드 LED 들어오는 부분의 종류도 많은 것 같은데, 유저의 사용법에 따라 선택할 수 있는 것 같습니다. 아직 저는 기본으로 두고 사용 중이라 ^^;스페이스 바가 기존 키보드보다 넓어서 적응이 안 된 상태라.. 자꾸 한영 키 누를 때 버벅거리네요 전체적으로 활용만 잘하면 만족도가 높을 것 같은 느낌이에요 ^^아 그리고 옥션에서 쿠폰 할인받고, 현재 앱코에서 이벤트 중인 리뷰 작성 시 장 패드 주는 거.. 넘나 좋네요 ^^ 다들 좋은 혜택 있을 때 득템하세요~^^",72,517
5,"좋은 가격에 마음에 드는 키보드입니다
이전에는 키보드를 그렇게 중요시하지 않아서 아주 저렴한 제품만 찾았었는데 요즘은 컴퓨터가 생활에 큰 부분을 차지하다 보니 키보드 하나 바꿈으로써 기분전환효과가 꽤나 크네요
특히 타자 칠때 손가락에 피로가 심해서 적축으로 구입하게 되었습니다 조용하고 좀 부드럽다고 해서말이죠 완전히 조용한건 아니지만 청축보다는 조용합니다 그리고 조명도 있어서 어두운환경에서도 영어로 아이디 입력할때 편리합니다
게임을 하진 않아서 너무 고가의 제품은 필요하지 않아서 이 제품을 선택하게 되었습니다 덮개가 있어서 컴퓨터 껐을때는 먼지쌓이는걸 막아줍니다 단 하나 한자키랑 한영키등 서브메뉴의 인쇄가 좀 흐릿해서 처음에는 인쇄불량으로 의심했습니다 그리고 적축은 화이트제품이 없어서 아쉽습니다
가격대비 성능이 훌륭한 제품인거 같아요 오래 잘쓸거 같습니다",9,2,5,5,0,좋은 가격에 마음에 드는 키보드입니다이전에는 키보드를 그렇게 중요시하지 않아서 아주 저렴한 제품만 찾았었는데 요즘은 컴퓨터가 생활에 큰 부분을 차지하다 보니 키보드 하나 바꿈으로써 기분전환 효과가 꽤나 크네요특히 타자 칠 때 손가락에 피로가 심해서 적축으로 구입하게 되었습니다 조용하고 좀 부드럽다고 해서 말이죠 완전히 조용한 건 아니지만 청축보다는 조용합니다 그리고 조명도 있어서 어두운 환경에서도 영어로 아이디 입력할 때 편리합니다게임을 하진 않아서 너무 고가의 제품은 필요하지 않아서 이 제품을 선택하게 되었습니다 덮개가 있어서 컴퓨터 껐을 때는 먼지 쌓이는 걸 막아줍니다 단 하나 한자 키랑 한영 키 등 서브메뉴의 인쇄가 좀 흐릿해서 처음에는 인쇄 불량으로 의심했습니다 그리고 적축은 화이트 제품이 없어서 아쉽습니다가격 대비 성능이 훌륭한 제품인 거 같아요 오래 잘 쓸 거 같습니다,57,441
6,솔직히 입문이라 무슨 축을 사야할지 몰라서이곳저곳 알아봤는데 실제 타이핑을 해보지 않는 이상잘 모르겠더라구요..직장근처 피시방에 스타한판 하러갔다가키보드가 맘에 들어서 사장님한테 물어보니이제품 이라길래 바로 청축으로 구매했습니다.어제 주문했는데 오늘 배송오네요..제품 퀄리티 아주 좋습니다.특히 케이블 굵기나 이런게 굉장하네요..노이즈필터도 달려있고..연결후 사용해보니 LED 이쁘게 잘나오구요타건감 장난 아니네요..스타할맛 확나겠네요기존 멤브레인 키보드 사용하면서윈도우키 뽑아놓고 썻는데이제품은 그럴필요도 없구요..플라시보 효과인지 기분탓인지는 모르겠지만.. 키보드 바꾸니 APM도 빨라졌습니다 ㅋ첫 입문 기계식인데 대단히 만족스러운 제품을잘 선택해서 구매한것 같습니다.,5,3,5,5,0,솔직히 입문이라 무슨 축을 사야 할지 몰라서 이곳저곳 알아봤는데 실제 타이핑을 해보지 않는 이상 잘 모르겠더라고요.. 직장 근처 피시방에 스타 한 판 하러 갔다가 키보드가 맘에 들어서 사장님한테 물어보니 이 제품이라길래 바로 청축으로 구매했습니다. 어제 주문했는데 오늘 배송 오네요.. 제품 퀄리티 아주 좋습니다. 특히 케이블 굵기나 이런 게 굉장하네요.. 노이즈 필터도 달려있고.. 연결 후 사용해보니 LED 이쁘게 잘 나오고요 타건 감 장난 아니네요.. 스타 할 맛 확 나겠네요 기존 멤브레인 키보드 사용하면서 윈도 키 뽑아놓고 썼는데 이 제품은 그럴 필요도 없고요.. 플라시보 효과인지 기분 탓인지는 모르겠지만.. 키보드 바꾸니 APM도 빨라졌습니다 ㅋ 첫 입문 기계식인데 대단히 만족스러운 제품을 잘 선택해서 구매한 것 같습니다.,53,412
7,"기계식 키보드에 입문해 보고 싶어서 검색한결과, 디자인이나 마감, 그리고 타건감에 대한 평이 좋아서구매를 했는데, 우선 솔직히 매우 만족스럽습니다.생각보다 크기도 크지 않고, 마감이 매우 깔끔합니다.그리고 제가 손이 조금 작은 편에 속하는데, 키보드 입력할때 불편함이 없습니다.블로그나 상품평은 보통 광고라고 생각했는데, 이번에는 잘 산거 같네요.마지막으로 키보드 보호 커버가 플라스틱으로 튼튼하게 제작되어 있어서, 먼지 걱정이 없는게 제일 맘에드는 부분입니다. 아직 1주일 정도 밖에는 사용안해봤지만 일단은 만족스럽습니다.참고로 제가 산 제품은 청축제품인데, 소리가 조금 큰감이 있지만, 대신에 입력이 되고 있다는확실한 반응을 얻을수 있어서 좋습니다.소리가 일반 멤브레인보다 좀 크므로, 소음에 민감하신분은 갈축으로 하면 될듯하네요.",2,2,5,5,2,"기계식 키보드에 입문해 보고 싶어서 검색한 결과, 디자인이나 마감, 그리고 타건감에 대한 평이 좋아서 구매를 했는데, 우선 솔직히 매우 만족스럽습니다. 생각보다 크기도 크지 않고, 마감이 매우 깔끔합니다. 그리고 제가 손이 조금 작은 편에 속하는데, 키보드 입력할 때 불편함이 없습니다. 블로그나 상품평은 보통 광고라고 생각했는데, 이번에는 잘 산거 같네요. 마지막으로 키보드 보호 커버가 플라스틱으로 튼튼하게 제작되어 있어서, 먼지 걱정이 없는 게 제일 맘에 드는 부분입니다. 아직 1주일 정도 밖에는 사용 안 해봤지만 일단은 만족스럽습니다. 참고로 제가 산 제품은 청축제품인데, 소리가 조금 큰 감이 있지만, 대신에 입력이 되고 있다는 확실한 반응을 얻을 수 있어서 좋습니다. 소리가 일반 멤브레인보다 좀 크므로, 소음에 민감하신 분은 갈축으로 하면 될듯하네요.",55,428
8,"상품을 받고 들뜬 기분으로 바로 개봉우쒸 희색이다. ㅠ.ㅠ구매내역을 확인하니 흰색으로 주문을 ㅠ.ㅠ사무실에서 사용하려고 산건데.. 검은색 장패드 위에 흰색 키보드.. 이건 너무 튀네어찌 되었든.. 타이핑시 키감은 좀 부드러운편...청축이라고 하기엔 좀 약하다고 해야할 정도... 조금 단단한 느낌의 키감이였으면 하는 마음이 들정도소리도 약간 울리는 듯함....가장 맘에 안드는 소리는 ㅠ.ㅠ 스페이스바에서 나는 울림...원가 비어있는 깡통소리 비슷한 가벼운 울림...워낙 타이핑을 많이 하고 스페이스바를 많이 사용하는데 소리가 영...LED 생상은 좋고 타건감은 그냥 저냥, 스페이스바의 소리는 정말 ㅠ.ㅠ구매 하실때 스페이스바를 많이 쓰시고 저처럼 좀 키를 튕기듯이 누르는 타입이시고 소리에 민감하시다면...비추이고요... ...",2,3,3,3,1,"상품을 받고 들뜬 기분으로 바로 개봉우쒸 희색이다. ㅠ.ㅠ구매내역을 확인하니 흰색으로 주문을 ㅠ.ㅠ사무실에서 사용하려고 산 건데.. 검은색 장 패드 위에 흰색 키보드.. 이건 너무 튀네 어찌 되었든.. 타이핑 시 키감은 좀 부드러운 편...청축이라고 하기엔 좀 약하다고 해야 할 정도... 조금 단단한 느낌의 키감이었으면 하는 마음이 들 정도 소리도 약간 울리는 듯함.... 가장 맘에 안 드는 소리는 ㅠ.ㅠ 스페이스바에서 나는 울림... 원가 비어있는 깡통 소리 비슷한 가벼운 울림... 워낙 타이핑을 많이 하고 스페이스 바를 많이 사용하는데 소리가 영... LED 생상은 좋고 타건감은 그냥저냥, 스페이스바의 소리는 정말 ㅠ.ㅠ구매 하실 때 스페이스 바를 많이 쓰시고 저처럼 좀 키를 튕기듯이 누르는 타입이시고 소리에 민감하시다면... 비추이고요... ...",44,426
9,예전에는 믿고 거른다는 앱코 제품인데 요즘에는 그 말이 통용되지 않는다고 생각합니다. 저렴한 가격의 기계식을 찾는다면 저는 앱코 제품을 많이 추천합니다. 기계식이나 광축 중에서 가성비는 앱코 따라올 제품 별로 없습니다. 비싼 기계식 써봐도 쓰다보면 스위치 분명 고장나고 씹히고 두번 입력되는 경우 많은데 이 제품은 스위치만 교환하면 되니 얼마나 편하고 좋습니까? 게다가 디자인도 저가형에서는 따라올 제품이 없다고 봅니다. 다만 스프링 튀는 소리가 신경쓰인다는 분들 있는데 기계식 써보면 아무리 고가의 제품이라도 미세하게 튀는 소리는 다 들리더군요. 저는 스프링 튀는 소리도 좋아합니다. 그게 바로 기계식 청축의 매력아닌가요...? ㅋㅋ 다만 저가형이라서 LED는 꺼놔도 부팅 다시하면 다시 켜집니다. LED색상도 레인보우라지만 키당 색상 하나로 고정되어 있구요. 고가형 키보드 처럼 여러가지 색상이 나오는게 아니라... 그런데... K640은 저렴한데 K640T는 왜 더 비싸죠? 생산단가도 덜 들어갈텐데... 이 제품에 만족해서 그제품도 사고 싶은데 가격이 떨어질 때만 기다립니다. ㅎㅎㅎ,9,4,5,5,1,예전에는 믿고 거른다는 앱코 제품인데 요즘에는 그 말이 통용되지 않는다고 생각합니다. 저렴한 가격의 기계식을 찾는다면 저는 앱코 제품을 많이 추천합니다. 기계식이나 광축 중에서 구성비는 앱코 따라올 제품 별로 없습니다. 비싼 기계식 써봐도 쓰다 보면 스위치 분명 고장 나고 씹히고 두 번 입력되는 경우 많은데 이 제품은 스위치만 교환하면 되니 얼마나 편하고 좋습니까? 게다가 디자인도 저가형에서는 따라올 제품이 없다고 봅니다. 다만 스프링 튀는 소리가 신경 쓰인다는 분들 있는데 기계식 써보면 아무리 고가의 제품이라도 미세하게 튀는 소리는 다 들리더군요. 저는 스프링 튀는 소리도 좋아합니다. 그게 바로 기계식 청축의 매력 아닌가요...? ㅋㅋ 다만 저가형이라서 LED는 꺼놔도 부팅 다시 하면 다시 켜집니다. LED 색상도 레인보이라지만 기당 색상 하나로 고정되어 있고요. 고가형 키보드처럼 여러 가지 색상이 나오는 게 아니라... 그런데... K640은 저렴한데 K640T는 왜 더 비싸죠? 생산단가도 덜 들어갈 텐데... 이 제품에 만족해서 그 제품도 사고 싶은데 가격이 떨어질 때만 기다립니다. ㅎㅎㅎ,60,564
